;;BENEVOLES 2026;;;;;;;;;;;;;;;;;;;;;;;
;POSTES;JOURS;HORAIRES;;PRENOM;;PRIX SOUVENIRS;N° de TEL;;;;;;;;;;;;;;;;;
VENDREDI ;REMISE DOSSARD;29/05/2026;11:30-14h30;RESPONSABLE : ;X1;1;;;;;;;;;;;;;;;;;;;
;;;RDV 11H00;;X2;1;;;;;;;;;;;;;;;;;;;
;;;;;X3;1;;;;;;;;;;;;;;;;;;;
;;;;;X4;1;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;PRIX SOUVENIRS;29/05/2026;11:30-14h30;RESPONSABLE : ;;4;;;;;;;;;;;;;;;;;;;
;;;RDV 11H00;;X5;1;;;;;;;;;;;;;;;;;;;
;;;;;X6;1;;;;;;;;;;;;;;;;;;;
;;;;;X7;1;;;;;;;;;;;;;;;;;;;
;;;;;X8;1;;;;;;;;;;;;;;;;;;;
;;;;;X9;1;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
VENDREDI;REMISE DOSSARD;29/05/2026;16H00- 18H30;RESPONSABLE : ;X10;4;;;;;;;;;;;;;;;;;;;
;;;RDV 15H30;;X11;;;;;;;;;;;;;;;;;;;;
;;;;;X12;;;;;;;;;;;;;;;;;;;;
;;;;;X13;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;PRIX SOUVENIRS;29/05/2026;16H00- 18H30;RESPONSABLE : ;X14;0;;;;;;;;;;;;;;;;;;;
;;;RDV 15H30;;X15;;;;;;;;;;;;;;;;;;;;
;;;;;X16;;;;;;;;;;;;;;;;;;;;
;;;;;X17;;;;;;;;;;;;;;;;;;;;
;;;;;X18;;;;;;;;;;;;;;;;;;;;
;;;;;;0;;;;;;;;;;;;;;;;;;;
SAMEDI ;DEPART UMTGG;30/05/2026;06h00- 08h00;RESPONSABLE : ;X19;;;;;;;;;;;;;;;;;;;;
;Mise en place espace départ;;;;X20;;;;;;;;;;;;;;;;;;;;
;Dossards;;;;X21;;;;;;;;;;;;;;;;;;;;
